iter	RMSE
0	1.417655154
1	1.397267626
2	1.378815893
3	1.362633585
4	1.346171623
5	1.331823413
6	1.316889019
7	1.302806098
8	1.289131251
9	1.275364102
10	1.264912575
11	1.253934245
12	1.244162657
13	1.234349568
14	1.226163636
15	1.217138961
16	1.208772716
17	1.200260444
18	1.192953188
19	1.185948489
20	1.178337837
21	1.171622433
22	1.164709214
23	1.158313988
24	1.152823754
25	1.147395411
26	1.142722112
27	1.137100647
28	1.132054843
29	1.127770903
30	1.122867148
31	1.118099283
32	1.114629652
33	1.110963975
34	1.107580037
35	1.103279484
36	1.099859992
37	1.097124826
38	1.09433313
39	1.09103956
40	1.087681678
41	1.084772588
42	1.081539808
43	1.078926082
44	1.075747782
45	1.072535276
46	1.069701528
47	1.067183528
48	1.064352265
49	1.062206827
50	1.060087851
51	1.057724939
52	1.055064805
53	1.052586087
54	1.05003582
55	1.047880748
56	1.045801185
57	1.044008445
58	1.04187682
59	1.040066617
60	1.037869465
61	1.035807845
62	1.033173321
63	1.030998926
64	1.029488126
65	1.027977333
66	1.026352781
67	1.024812676
68	1.022838291
69	1.021082836
70	1.019147533
71	1.017746442
72	1.016682063
73	1.015449673
74	1.013926586
75	1.011531921
76	1.009906547
77	1.008204172
78	1.006595535
79	1.005153402
80	1.003945845
81	1.002312947
82	1.000989329
83	0.9990123184
84	0.9972692811
85	0.9959423406
86	0.9947531866
87	0.9931305631
88	0.9913426007
89	0.9899950645
90	0.9883108866
91	0.987483302
92	0.9856490801
93	0.9846642839
94	0.983457476
95	0.9825734487
96	0.981675195
97	0.9801612378
98	0.9785914679
99	0.9774044199
100	0.9761485471
101	0.9753193583
102	0.9738592371
103	0.9727872876
104	0.971505537
105	0.9708527422
106	0.9696721331
107	0.9688992046
108	0.9679685806
109	0.9672645881
110	0.9658436728
111	0.9641352093
112	0.9633988583
113	0.9623963123
114	0.9615763389
115	0.9608026572
116	0.9595296281
117	0.9583402476
118	0.9574797454
119	0.955776584
120	0.9545079041
121	0.9536352784
122	0.9530726383
123	0.9520741319
124	0.9511619557
125	0.9496944718
126	0.9482780251
127	0.9467885323
128	0.9460761277
129	0.9446423912
130	0.9436791257
131	0.9422512877
132	0.9412953
133	0.9404538746
134	0.9391832636
135	0.9380827905
136	0.9371059837
137	0.9365061225
138	0.935879586
139	0.9349380747
140	0.933914399
141	0.933322445
142	0.9324927972
143	0.9317757389
144	0.931063692
145	0.9300738263
146	0.9291975965
147	0.9283422116
148	0.9271096169
149	0.9263865049
150	0.9250756442
151	0.9238242213
152	0.9229695249
153	0.922044255
154	0.9212502606
155	0.9210079504
156	0.920265422
157	0.9194576642
158	0.918553607
159	0.9176724668
160	0.9164556836
161	0.9156106032
162	0.9143279025
163	0.9135825927
164	0.9129283596
165	0.9119913589
166	0.9115898411
167	0.910820213
168	0.9099358469
169	0.9090384806
170	0.9081822707
171	0.9077121377
172	0.9065487301
173	0.9058388403
174	0.9049170542
175	0.9041303293
176	0.903073651
177	0.9021465952
178	0.9009718393
179	0.9006749816
180	0.8996740359
181	0.8987986928
182	0.8987226307
183	0.8977774191
184	0.8969091713
185	0.8960617155
186	0.8951371452
187	0.894614224
188	0.8935364212
189	0.8921906209
190	0.8913442033
191	0.8905548364
192	0.8896961806
193	0.888486142
194	0.8880142758
195	0.8874417399
196	0.8864320982
197	0.8858100458
198	0.8848962353
199	0.88392811
200	0.8828233267
201	0.8819671275
202	0.8809063646
203	0.8798809269
204	0.8789696038
205	0.8782256871
206	0.8772164306
207	0.876787435
208	0.8758780504
209	0.8751027481
210	0.8744294465
211	0.8735312306
212	0.8725416034
213	0.8719172178
214	0.8712587478
215	0.8705368282
216	0.8702473873
217	0.8697124491
218	0.8688418073
219	0.8682213167
220	0.8676677036
221	0.8670157336
222	0.8665608608
223	0.8661527148
224	0.8653075448
225	0.864416533
226	0.8636815184
227	0.8633038029
228	0.8623942389
229	0.8614419039
230	0.8611683849
231	0.8605087783
232	0.8601062938
233	0.8594325829
234	0.858173635
235	0.8569707947
236	0.8560552769
237	0.8552908042
238	0.8545810072
239	0.8540964955
240	0.8536596139
241	0.8521974312
242	0.8513271934
243	0.8510741528
244	0.8500889702
245	0.8493952617
246	0.849010042
247	0.8484733994
248	0.8475115056
249	0.8467985184
250	0.8460948354
251	0.8448633336
252	0.8439749517
253	0.8433288945
254	0.842520086
255	0.8419010018
256	0.841370363
257	0.8405785932
258	0.839745615
259	0.8391585036
260	0.8382799419
261	0.8373684581
262	0.8367189391
263	0.836215725
264	0.835305789
265	0.8347389428
266	0.8341482705
267	0.8336868165
268	0.8330986405
269	0.8322496471
270	0.8322028561
271	0.8321179135
272	0.8315956808
273	0.8307066938
274	0.8296196727
275	0.8284953433
276	0.8278818995
277	0.8271554105
278	0.8261807195
279	0.825521982
280	0.8249672746
281	0.8238440651
282	0.8229327239
283	0.8228842283
284	0.822202011
285	0.8218500429
286	0.8210834784
287	0.8203801674
288	0.819593095
289	0.8188340032
290	0.8175687014
291	0.8168093999
292	0.8160243391
293	0.815977745
294	0.8159022374
295	0.8151999388
296	0.8151635145
297	0.8142590035
298	0.8141963255
299	0.8137268109
300	0.8136930086
301	0.8129219896
302	0.8123946758
303	0.8123368147
304	0.8114944309
305	0.8108109296
306	0.8101999045
307	0.809152238
308	0.8085330828
309	0.807962768
310	0.8072610546
311	0.8065179306
312	0.8059520762
313	0.8056067921
314	0.8048265728
315	0.8041370273
316	0.8041009502
317	0.8031894792
318	0.8024132352
319	0.8018782365
320	0.8011635643
321	0.8005375944
322	0.8004732139
323	0.8004391295
324	0.8004064421
325	0.7997512589
326	0.7989514107
327	0.7983037408
328	0.7977589433
329	0.7977232861
330	0.7976903583
331	0.7967860373
332	0.7967291633
333	0.7967004367
334	0.7966698265
335	0.7966172419
336	0.7965670577
337	0.7965165714
338	0.7957582296
339	0.7954062622
340	0.7951176595
341	0.7944499046
342	0.7939103467
343	0.7935919619
344	0.7932511801
345	0.7928085005
346	0.7923425138
347	0.7923172297
348	0.7914444142
349	0.7910304465
350	0.7902405074
351	0.789649119
352	0.7890437996
353	0.7887866827
354	0.7882312189
355	0.78753371
356	0.7867766433
357	0.7860730008
358	0.7852952492
359	0.7845626212
360	0.7833693238
361	0.7829692656
362	0.7822852154
363	0.7819456657
364	0.7816298367
365	0.7805464411
366	0.779643876
367	0.7790296361
368	0.7784350191
369	0.7778143118
370	0.7774405089
371	0.7769373851
372	0.776267472
373	0.7759635653
374	0.7751638059
375	0.7745712067
376	0.7739613303
377	0.7735661103
378	0.7729262614
379	0.7725470624
380	0.7720478342
381	0.771615529
382	0.7711060494
383	0.7706858001
384	0.7701198031
385	0.7696902577
386	0.7696224888
387	0.7689627471
388	0.7688337783
389	0.7682693472
390	0.7678270188
391	0.7671106461
392	0.7665909966
393	0.7661272332
394	0.765413711
395	0.7650523349
396	0.7644307729
397	0.7636977396
398	0.7632513968
399	0.7627194073
400	0.762050494
401	0.7614459996
402	0.7607318571
403	0.7600146869
404	0.7595904234
405	0.7590794911
406	0.758232124
407	0.7579115448
408	0.7575517407
409	0.7572389244
410	0.7568022688
411	0.7564432255
412	0.7557147955
413	0.7547062252
414	0.7538301604
415	0.7530170385
416	0.7525792137
417	0.7520450659
418	0.7514990842
419	0.7512037517
420	0.7505702374
421	0.7498149905
422	0.7493426719
423	0.7490277801
424	0.7486333
425	0.7481452531
426	0.7476592164
427	0.7472867332
428	0.7466712849
429	0.7461772243
430	0.7456937469
431	0.7453076002
432	0.744592357
433	0.7437034012
434	0.743082711
435	0.7425946835
436	0.7419507648
437	0.7411260286
438	0.7406620486
439	0.7402693054
440	0.7397021702
441	0.739076435
442	0.7381355973
443	0.7375795072
444	0.7368274445
445	0.7361526967
446	0.7357946613
447	0.7353414027
448	0.7350239358
449	0.7345274757
450	0.7338757267
451	0.7331641553
452	0.7326663427
453	0.7323562937
454	0.7321760635
455	0.7317066284
456	0.7313168246
457	0.7307916942
458	0.7304689679
459	0.729924082
460	0.7295433163
461	0.7291163042
462	0.7287571603
463	0.7282244437
464	0.7276369201
465	0.7272346144
466	0.7268175924
467	0.72647708
468	0.7256367359
469	0.7256212162
470	0.7252857161
471	0.7251249127
472	0.7246249745
473	0.7241886674
474	0.7234784942
475	0.7231668424
476	0.7222823361
477	0.7220200922
478	0.721637052
479	0.7210328481
480	0.720383936
481	0.7199838894
482	0.71948144
483	0.719069144
484	0.7186185066
485	0.7180278684
486	0.7174845986
487	0.7170964775
488	0.7167642715
489	0.7164636294
490	0.7160708822
491	0.7156324694
492	0.7150379721
493	0.7143500353
494	0.7138531043
495	0.7135395973
496	0.7130718087
497	0.7128367483
498	0.7124081251
499	0.7118363259
500	0.7114384036
501	0.7109043651
502	0.7105618558
503	0.7099017285
504	0.7094478361
505	0.7090068305
506	0.7085107736
507	0.7080224205
508	0.707471761
509	0.7068337911
510	0.7063982842
511	0.705830523
512	0.7052952263
513	0.7047102549
514	0.7038420151
515	0.7033942525
516	0.7030622268
517	0.7027850046
518	0.7021658242
519	0.7017120177
520	0.7012675333
521	0.7009598617
