iter	Passed	Remaining
0	67	66950
1	69	34764
2	72	23976
3	74	18617
4	77	15429
5	80	13281
6	82	11745
7	84	10534
8	88	9726
9	91	9075
10	94	8482
11	96	7973
12	99	7536
13	101	7164
14	104	6838
15	106	6561
16	109	6330
17	111	6092
18	113	5877
19	116	5686
20	118	5512
21	120	5365
22	122	5221
23	125	5096
24	127	4972
25	129	4862
26	131	4749
27	133	4646
28	135	4552
29	137	4459
30	140	4379
31	142	4301
32	145	4249
33	147	4193
34	149	4128
35	151	4067
36	154	4008
37	156	3961
38	158	3910
39	160	3862
40	163	3816
41	165	3768
42	167	3722
43	169	3678
44	171	3637
45	173	3600
46	175	3565
47	178	3533
48	180	3498
49	182	3474
50	185	3446
51	187	3414
52	189	3389
53	192	3369
54	194	3347
55	198	3348
56	201	3331
57	204	3322
58	208	3331
59	211	3311
60	213	3285
61	215	3261
62	217	3237
63	219	3217
64	222	3196
65	224	3176
66	226	3159
67	229	3143
68	232	3136
69	234	3120
70	237	3107
71	240	3095
72	242	3082
73	245	3067
74	247	3049
75	249	3031
76	251	3019
77	254	3013
78	257	2999
79	259	2983
80	261	2966
81	263	2950
82	265	2933
83	267	2919
84	270	2910
85	272	2897
86	274	2882
87	276	2868
88	278	2853
89	280	2838
90	282	2825
91	284	2812
92	287	2799
93	289	2787
94	291	2773
95	293	2760
96	295	2747
97	297	2735
98	299	2727
99	301	2715
100	304	2709
101	307	2703
102	309	2692
103	311	2682
104	313	2671
105	316	2668
106	319	2664
107	321	2654
108	323	2644
109	325	2635
110	327	2626
111	330	2617
112	332	2611
113	334	2602
114	337	2594
115	339	2584
116	341	2575
117	343	2566
118	345	2556
119	347	2550
120	349	2542
121	352	2534
122	354	2526
123	356	2517
124	358	2507
125	360	2499
126	362	2492
127	364	2486
128	367	2479
129	369	2471
130	371	2463
131	373	2454
132	375	2446
133	377	2441
134	380	2434
135	382	2428
136	384	2421
137	386	2413
138	389	2411
139	391	2406
140	394	2403
141	396	2397
142	399	2393
143	401	2386
144	403	2380
145	405	2373
146	407	2367
147	410	2362
148	412	2357
149	415	2352
150	417	2348
151	419	2342
152	421	2335
153	423	2328
154	426	2322
155	428	2316
156	430	2310
157	432	2305
158	434	2299
159	436	2293
160	439	2287
161	441	2281
162	443	2278
163	446	2274
164	448	2268
165	450	2263
166	452	2257
167	454	2251
168	456	2246
169	459	2241
170	461	2236
171	463	2230
172	465	2224
173	467	2218
174	469	2212
175	471	2206
176	473	2200
177	475	2196
178	477	2191
179	480	2186
180	482	2181
181	483	2175
182	485	2168
183	487	2163
184	490	2158
185	492	2153
186	494	2150
187	496	2144
188	498	2138
189	500	2133
190	502	2128
191	504	2122
192	507	2120
193	509	2116
194	511	2112
195	513	2106
196	515	2101
197	517	2095
198	519	2090
199	521	2086
200	523	2080
201	525	2076
202	527	2071
203	529	2066
204	531	2061
205	533	2056
206	535	2051
207	538	2049
208	540	2046
209	543	2043
210	545	2040
211	547	2035
212	549	2031
213	551	2027
214	554	2023
215	556	2019
216	558	2015
217	560	2010
218	562	2006
219	564	2001
220	567	1999
221	569	1996
222	571	1992
223	573	1988
224	576	1984
225	579	1984
226	583	1987
227	587	1988
228	589	1986
229	592	1983
230	594	1980
231	597	1976
232	598	1971
233	601	1968
234	603	1965
235	606	1963
236	608	1959
237	610	1955
238	612	1951
239	614	1946
240	616	1942
241	618	1938
242	620	1934
243	622	1930
244	624	1925
245	626	1921
246	628	1917
247	630	1913
